level,code,short_name
MTI4,8311,메모리반도체
MTI4,8312,시스템반도체
MTI4,8313,개별소자반도체
MTI4,8314,실리콘웨이퍼
MTI4,8131,컴퓨터
MTI4,8132,저장장치
MTI4,8133,프린터
MTI4,8134,모니터
MTI4,8135,입출력장치
MTI4,8136,컴퓨터부품
MTI4,8137,기록매체·SW
MTI4,8138,기록매체
MTI4,1331,휘발유
MTI4,1332,등유
MTI4,1333,경유
MTI4,1334,중유
MTI4,1335,나프타
MTI4,2110,기초유분
MTI4,7420,자동차부품
MTI4,7421,자동차부품
