month,checkpoint_day,export_usd_m,import_usd_m,balance_usd_m,export_yoy_pct,import_yoy_pct,source,status,fetched_at
2026-09,10,34973.0,24606.0,10367.0,82.6,20.7,관세청 홈페이지,집계중,2026-09-20T01:28:17
2026-09,20,71409.0,48443.0,22966.0,78.3,26.7,관세청 홈페이지,집계중,2026-09-21T01:26:55
